2ndFlrSF,MasVnrArea,GarageYrBlt,BedroomAbvGr,BsmtExposure,BsmtFinType1,GarageFinish,1stFlrSF,BsmtFinSF1,BsmtUnfSF,GarageArea,GrLivArea,KitchenQual,LotArea,LotFrontage,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice,GarageYrBlt_missing,LotFrontage_missing
0,0,1963,3,No,GLQ,RFn,1068,663,396,264,1068,TA,8414,70.0,0,8,6,1059,1963,2003,154500,0,0
0,362,1994,3,Av,GLQ,RFn,1500,1032,431,712,2622,Gd,12256,98.0,32,5,8,1463,1994,1995,325000,0,0
0,0,1927,2,No,Unf,Unf,1028,0,1008,360,1028,TA,8960,56.0,0,6,5,1008,1927,1950,115000,0,0
0,0,1950,3,No,ALQ,None,1004,399,605,420,1664,TA,5000,50.0,24,7,6,1004,1947,1950,159000,0,0
0,70,2008,2,Gd,GLQ,Fin,1620,1022,598,912,1620,Ex,12898,89.0,0,5,9,1620,2007,2008,315500,0,0
0,0,0,1,Av,LwQ,None,630,150,0,0,630,TA,1491,21.0,24,6,4,630,1972,1972,75500,1,0
817,312,1939,3,No,BLQ,None,1137,341,457,431,1954,Gd,15660,70.0,119,9,7,798,1939,2006,311500,0,1
601,0,1978,3,No,None,Unf,855,311,544,440,1456,TA,2280,24.0,0,5,6,855,1978,1978,146000,0,0
0,0,0,1,Av,BLQ,None,630,131,0,0,630,TA,1936,21.0,0,6,4,630,1970,1970,84500,1,0
521,0,1955,3,No,Unf,Unf,872,0,816,300,1393,TA,16466,59.0,0,7,5,816,1955,1955,135500,0,0
600,0,1928,3,No,Unf,Unf,877,0,861,216,1477,TA,6292,52.0,50,7,7,861,1928,1950,145000,0,0
0,0,1968,3,No,None,RFn,874,510,354,288,874,TA,9858,62.0,0,6,5,864,1968,1968,130000,0,0
0,0,1994,2,No,Unf,RFn,894,0,894,1248,894,TA,18000,120.0,20,4,3,894,1935,1950,81000,0,0
0,168,2004,3,No,GLQ,RFn,1535,2,1515,532,1535,Gd,10171,70.0,0,5,7,1517,2004,2004,214000,0,0
742,0,2000,3,No,Unf,RFn,948,0,924,463,1690,TA,8063,70.0,48,5,6,924,2000,2000,181000,0,1
0,0,1953,2,No,BLQ,Unf,1008,643,365,240,1008,Gd,8923,66.0,18,7,5,1008,1953,2006,134500,0,0
880,0,2004,3,No,Unf,Fin,840,0,840,440,1720,Gd,8244,62.0,48,5,7,840,2004,2004,183500,0,0
0,45,1960,2,No,None,None,1134,588,422,254,1134,TA,7000,70.0,16,7,5,1010,1960,2002,135000,0,0
0,0,1920,2,No,Unf,Unf,1012,0,1012,308,1012,TA,8263,59.0,22,5,6,1012,1920,1950,118400,0,0
0,167,2003,3,Av,GLQ,RFn,1479,1013,440,558,1479,Gd,10665,72.0,29,5,7,1453,2003,2003,226000,0,0
0,67,1957,3,No,Rec,RFn,1803,168,284,484,1803,TA,13125,88.0,0,4,5,1134,1957,2000,155000,0,0
0,0,2008,3,No,Unf,RFn,786,0,768,676,1590,Gd,9000,75.0,30,5,8,768,2008,2008,210000,0,0
0,0,2005,3,No,GLQ,Fin,738,193,545,540,1476,Gd,8633,64.0,35,5,6,738,2005,2005,173500,0,0
0,0,1956,2,No,BLQ,Fin,936,248,448,308,936,TA,5868,74.0,0,7,5,936,1956,2000,129000,0,0
0,0,1999,3,Av,GLQ,Fin,1431,560,871,666,1431,Gd,9017,68.0,35,5,7,1431,1999,1999,192000,0,0
0,0,1993,2,No,GLQ,RFn,1199,300,899,530,1199,Gd,7892,55.0,63,5,6,1199,1993,1993,153900,0,0
0,0,2007,3,Av,GLQ,Fin,1340,24,1316,396,1340,Gd,8899,73.0,30,5,7,1340,2007,2007,181134,0,0
0,0,1951,2,No,LwQ,Unf,864,120,744,400,864,TA,19138,140.0,0,5,4,864,1951,1951,141000,0,0
678,0,1997,3,No,Unf,Fin,926,0,926,470,1604,TA,10839,100.0,36,5,6,926,1997,1998,181000,0,0
0,0,2006,2,No,Unf,None,1352,0,1352,466,1352,Gd,4230,47.0,241,5,7,1352,2006,2007,208900,0,0
316,0,1986,3,No,Unf,Unf,936,0,504,576,1252,TA,7438,92.0,0,8,5,504,1908,1991,127000,0,0
1040,292,2003,3,No,GLQ,RFn,1006,866,132,871,2046,Gd,10625,85.0,62,5,7,998,2003,2004,284000,0,0
971,0,0,3,No,Rec,None,1636,152,977,0,3086,Ex,18030,138.0,0,6,5,1598,1946,1994,200500,1,0
0,0,1956,2,No,ALQ,Unf,952,228,724,283,952,TA,8475,70.0,0,7,4,952,1956,1956,135750,0,1
0,208,2006,3,No,GLQ,RFn,1636,63,1560,865,1636,Gd,13501,116.0,60,5,8,1623,2006,2006,255000,0,0
0,0,1965,3,No,Rec,None,1136,892,244,384,1136,TA,9200,80.0,0,6,6,1136,1965,1965,140000,0,0
768,0,1950,3,No,Rec,Unf,1136,180,676,240,1904,TA,7200,60.0,0,4,5,1208,1950,1982,138000,0,0
1081,0,2003,4,No,None,Fin,847,0,847,434,1928,Gd,8200,65.0,48,5,7,847,2003,2004,219500,0,0
1168,0,1993,5,No,GLQ,RFn,1352,1012,326,796,2520,Gd,14541,70.0,55,7,8,1338,1993,1993,310000,0,1
0,0,1956,2,None,None,Unf,882,0,0,308,882,TA,12702,70.0,45,5,5,0,1956,1956,97000,0,0
0,0,1985,3,No,Unf,Unf,816,0,816,528,1176,TA,6240,52.0,0,6,6,816,1934,1950,114500,0,0
888,0,1994,3,No,GLQ,RFn,1222,695,253,463,2110,Gd,8880,70.0,130,5,7,948,1994,2002,205000,0,1
0,0,1981,3,No,BLQ,Unf,950,412,251,280,950,TA,9758,61.0,0,5,5,950,1971,1971,119500,0,0
0,306,2009,3,No,None,RFn,2042,0,2042,1390,2042,Ex,12704,98.0,90,5,8,2042,2008,2009,253293,0,0
0,57,1963,3,No,Rec,Unf,988,827,161,572,988,TA,9945,70.0,0,5,5,988,1961,1961,128500,0,1
1032,0,1930,5,Mn,Unf,Unf,1178,0,1008,205,2210,Fa,9900,90.0,48,4,6,1008,1880,1950,117500,0,0
0,0,1964,2,No,Rec,Unf,912,312,0,288,912,TA,7800,66.0,0,5,5,912,1964,1964,115000,0,0
0,0,1966,3,No,BLQ,Unf,955,763,192,386,955,TA,7742,66.0,0,7,5,955,1966,1966,127000,0,0
568,420,2008,3,Gd,GLQ,RFn,1728,1338,384,842,2296,Ex,13478,97.0,274,5,10,1722,2008,2008,451950,0,0
650,180,1958,3,No,BLQ,Unf,874,460,414,315,1524,TA,11344,78.0,0,5,5,874,1958,1958,144000,0,0
0,0,1950,3,No,BLQ,Unf,988,534,246,276,988,TA,7200,60.0,80,7,5,876,1950,1950,119000,0,0
0,0,1977,2,Gd,ALQ,RFn,1567,1567,0,714,1567,Gd,9819,70.0,32,5,6,1567,1977,1977,196000,0,1
688,0,1976,3,Mn,Unf,Fin,616,0,264,336,1304,TA,2665,70.0,24,6,5,264,1976,1976,115000,0,1
0,0,1976,2,Av,ALQ,Fin,2898,1165,0,665,2898,Gd,15498,70.0,72,6,8,1565,1976,1976,287000,0,1
0,169,2004,1,Gd,GLQ,Fin,848,662,186,420,848,Gd,4438,70.0,0,5,6,848,2004,2004,144500,0,1
0,0,2005,3,Av,GLQ,None,1734,1300,434,660,1734,Gd,11645,78.0,24,5,7,1734,2005,2005,260000,0,0
769,137,1993,3,No,ALQ,None,1006,513,227,425,1775,Gd,9317,75.0,72,5,7,740,1993,1993,213000,0,0
0,0,1977,3,Av,ALQ,RFn,1126,767,266,540,1126,Ex,15611,70.0,0,6,5,1126,1977,1977,175000,0,1
0,0,1976,3,Av,ALQ,None,1117,422,480,672,1117,TA,7819,94.0,0,5,6,1029,1976,1976,107000,0,0
0,0,1967,2,None,None,None,827,0,0,392,827,TA,7200,60.0,0,7,5,0,1955,2007,107500,0,0
0,0,1920,1,No,Unf,Unf,520,0,520,240,520,Fa,6324,60.0,0,6,4,520,1927,1950,68500,0,0
0,0,1959,3,No,LwQ,RFn,1246,340,0,305,1246,Gd,7500,75.0,0,7,5,1246,1959,1994,154000,0,0
1330,344,2004,4,Av,Unf,None,1143,0,1143,852,2473,Gd,9591,76.0,151,5,8,1143,2004,2005,317000,0,0
0,284,2008,2,No,Unf,None,1506,0,1498,592,1506,Ex,14587,75.0,174,5,9,1498,2008,2008,264132,0,0
0,100,2006,3,Gd,GLQ,Fin,1776,80,1652,712,1776,Gd,15306,93.0,0,5,8,1732,2006,2007,283463,0,0
0,0,1950,4,Av,ALQ,Unf,2158,477,725,576,2158,Gd,12615,84.0,29,7,6,1202,1950,2001,243000,0,0
299,0,1940,2,No,None,Unf,735,0,735,240,1034,TA,10134,60.0,39,6,5,735,1940,1950,109000,0,0
780,226,2003,3,Gd,GLQ,Fin,1482,871,611,749,2262,Gd,12244,85.0,0,5,8,1482,2003,2003,305000,0,0
0,0,0,3,Mn,BLQ,None,974,212,762,0,974,TA,10712,63.0,28,5,5,974,1991,1992,93500,1,0
729,1129,1999,2,No,GLQ,Unf,729,419,310,440,1458,TA,3230,34.0,32,5,6,729,1999,1999,176000,0,0
0,0,1979,4,None,None,Unf,1535,0,0,400,1535,TA,7018,64.0,0,5,5,0,1979,1979,118858,0,0
0,0,1968,3,No,BLQ,None,1211,250,210,322,1211,TA,8250,55.0,63,5,5,952,1968,1968,134000,0,0
0,0,1964,3,No,Rec,Unf,907,288,619,352,907,TA,8593,77.0,0,6,4,907,1957,1957,109008,0,0
0,0,1949,2,None,None,Unf,1040,0,0,400,1040,TA,8544,60.0,0,4,3,0,1950,1950,93500,0,0
0,760,2009,3,Gd,GLQ,Fin,2364,2188,142,820,2364,Ex,12919,100.0,67,5,9,2330,2009,2010,611657,0,0
0,0,1996,2,Mn,GLQ,Unf,1291,1003,288,431,1291,Gd,2887,70.0,0,5,6,1291,1996,1997,173000,0,1
985,423,1997,3,No,GLQ,Fin,1407,1074,322,870,2392,Gd,9452,82.0,70,5,8,1396,1997,1998,348000,0,0
1093,651,1993,3,Gd,GLQ,RFn,1325,1173,138,983,2418,Gd,10542,96.0,154,5,7,1311,1993,1994,341000,0,0
0,0,1959,3,No,ALQ,RFn,1150,179,465,300,1150,TA,7945,70.0,0,6,5,1150,1959,1959,141000,0,0
0,0,1973,2,Av,ALQ,Unf,780,632,148,352,780,TA,7200,60.0,0,7,5,780,1972,1972,124900,0,0
504,510,1972,3,No,ALQ,Unf,483,162,321,264,987,Gd,1680,21.0,0,8,6,483,1972,2007,118000,0,0
0,0,1920,2,No,Unf,Unf,1077,0,961,338,1077,TA,8967,60.0,0,2,5,961,1920,1950,67000,0,0
0,0,1954,2,No,None,RFn,988,0,988,520,988,TA,21750,100.0,0,5,5,988,1954,1954,113000,0,0
0,0,1938,2,No,Unf,Unf,886,0,190,273,886,TA,5784,50.0,20,8,5,190,1938,1996,91300,0,0
728,203,1978,3,No,ALQ,Fin,672,209,463,440,1400,TA,7844,74.0,0,7,6,672,1978,1978,149500,0,0
584,0,1935,3,No,None,Unf,989,0,884,240,1573,Gd,6120,51.0,0,7,4,884,1935,1995,133000,0,0
844,0,2006,3,Mn,Unf,RFn,1095,0,1095,1053,1939,Gd,10728,84.0,51,5,8,1095,2006,2006,266000,0,0
0,0,1986,3,Gd,GLQ,RFn,1453,1082,371,445,1453,Gd,5271,70.0,80,5,7,1453,1986,1986,190000,0,1
0,169,2004,3,Mn,GLQ,RFn,848,662,186,420,848,Gd,4435,37.0,0,5,6,848,2004,2004,155900,0,0
728,0,2006,3,No,Unf,Fin,728,0,728,440,1456,Gd,11103,85.0,0,5,7,728,2006,2006,155835,0,0
0,0,1948,3,No,Rec,Unf,1559,338,1221,812,1559,TA,8100,90.0,116,6,5,1559,1948,1973,153500,0,0
840,263,1969,4,No,Rec,Fin,780,493,0,462,1620,TA,10793,80.0,0,5,5,780,1969,1969,152000,0,0
0,0,1982,3,Gd,ALQ,Unf,816,546,270,264,816,TA,8314,76.0,0,7,5,816,1982,1982,124500,0,0
1177,172,1987,4,Gd,LwQ,None,1553,28,0,576,2730,Gd,10380,86.0,96,5,7,1502,1986,1987,301000,0,0
0,0,0,4,No,Unf,None,1768,0,1768,0,1768,TA,10778,72.0,0,5,4,1768,1968,1968,136500,1,0
0,0,2005,3,No,GLQ,Fin,1316,28,1288,397,1316,Gd,10237,65.0,0,5,6,1316,2005,2006,169990,0,0
596,0,1978,3,No,Unf,None,952,0,952,672,1548,Ex,7264,55.0,0,7,7,952,1925,2007,205000,0,0
739,218,1999,3,No,GLQ,Unf,713,450,241,506,1452,Gd,3735,35.0,34,5,7,691,1999,1999,183900,0,0
0,0,2006,2,Mn,Unf,None,1498,0,1498,675,1498,Gd,8990,73.0,33,5,7,1498,2006,2006,204900,0,0
0,278,1983,4,No,GLQ,RFn,1153,692,153,484,2353,Ex,13005,94.0,195,7,7,845,1980,1980,260000,0,0
0,0,1970,3,No,LwQ,Unf,1657,1237,420,484,1657,TA,12155,70.0,0,3,6,1657,1970,1970,163500,0,1
884,252,2003,3,No,GLQ,None,884,550,334,543,1768,Gd,8158,65.0,63,5,7,884,2003,2003,224900,0,0
0,1115,1973,3,Gd,ALQ,Fin,2223,1880,343,516,2223,TA,13651,95.0,0,6,7,2223,1973,1973,244000,0,0
0,0,1991,2,No,Unf,Unf,854,0,832,576,854,TA,6120,51.0,112,8,7,832,1929,2001,132000,0,0
0,0,1978,2,Gd,ALQ,Unf,1432,680,289,588,1432,Gd,16157,70.0,180,7,5,1360,1978,1978,194000,0,1
0,0,1957,3,No,ALQ,RFn,1478,189,628,442,1478,TA,8400,70.0,0,3,6,1478,1957,1957,156500,0,0
0,0,1969,3,No,GLQ,RFn,1026,439,115,440,1026,Gd,7930,61.0,48,8,6,1026,1969,2005,156000,0,0
0,0,1985,2,Gd,GLQ,RFn,1742,1148,594,564,1742,Gd,6563,70.0,28,5,8,1742,1985,1985,275000,0,1
0,0,1996,3,No,GLQ,Unf,990,686,304,672,990,TA,9245,57.0,0,5,5,990,1994,1995,145000,0,0
1040,192,1969,5,Av,Rec,Unf,1040,650,390,504,2080,Fa,11606,70.0,0,5,5,1040,1969,1969,135000,0,0
0,0,0,1,No,Unf,None,800,0,264,0,800,Fa,6120,51.0,0,3,2,264,1936,1950,60000,1,0
0,136,0,3,No,Rec,None,1040,616,424,0,1040,TA,8430,60.0,0,5,5,1040,1978,1978,124000,1,0
0,0,1962,3,No,ALQ,Unf,1040,659,381,260,1040,TA,6897,70.0,104,8,5,1040,1962,2010,127000,0,1
574,0,1933,4,Mn,Unf,Unf,939,0,939,180,1513,TA,6120,51.0,0,8,5,939,1920,2004,137500,0,0
858,0,2006,3,Av,Unf,None,939,0,939,639,1797,Gd,9245,79.0,53,5,7,939,2006,2006,213500,0,0
0,294,1940,3,No,BLQ,Unf,804,510,278,240,804,Gd,7200,60.0,0,7,5,788,1940,1992,119000,0,0
0,0,1954,2,No,Unf,Unf,901,0,901,281,901,TA,6000,50.0,0,7,4,901,1954,2000,107900,0,0
0,0,1974,3,No,Unf,Unf,872,0,858,480,872,TA,8294,70.0,0,5,4,858,1971,1971,123000,0,0
584,0,1978,4,None,None,Unf,1318,0,0,539,1902,TA,8930,68.0,0,5,6,0,1978,1978,112000,0,0
0,296,2003,3,No,GLQ,None,1629,1124,1603,880,1629,Gd,10655,85.0,0,5,8,3206,2003,2004,284000,0,0
0,182,1998,1,Av,GLQ,Fin,767,584,0,367,767,TA,4058,34.0,40,5,7,723,1998,1998,133000,0,0
0,205,2004,1,Av,GLQ,RFn,848,662,186,420,848,Gd,4438,70.0,0,5,6,848,2004,2004,149000,0,1
684,0,1997,3,Av,Unf,Fin,916,0,916,460,1600,TA,8773,57.0,38,5,6,916,1997,1997,169000,0,0
795,0,1922,4,No,Unf,Unf,1053,0,833,370,1848,Gd,13053,64.0,0,7,6,833,1923,2000,207000,0,0
0,0,1988,3,Mn,GLQ,Unf,1412,1005,387,576,1412,Gd,11457,130.0,0,5,6,1392,1988,1988,175000,0,0
0,114,1965,3,No,BLQ,Unf,935,560,0,288,935,TA,13526,70.0,0,6,5,935,1965,1965,137000,0,1
1276,0,2000,4,No,GLQ,Fin,980,300,652,554,2256,Gd,8795,70.0,54,5,7,952,2000,2000,236000,0,1
0,0,1988,2,No,Unf,Unf,779,0,742,308,935,TA,9100,50.0,0,6,5,742,1930,1960,79500,0,0
0,0,1999,3,No,Unf,Unf,1099,0,1099,352,1099,Gd,9525,75.0,0,6,5,1099,1995,2006,144000,0,0
832,0,1976,4,No,GLQ,RFn,832,194,638,528,1664,TA,10140,78.0,28,5,7,832,1976,1976,162900,0,0
812,0,2004,3,No,GLQ,RFn,770,490,280,520,1582,Gd,8320,64.0,45,5,7,770,2004,2004,185900,0,0
0,208,2005,2,Gd,GLQ,RFn,2028,1460,408,880,2028,Gd,11443,88.0,66,5,8,1868,2005,2006,369900,0,0
913,0,1998,3,Av,Unf,RFn,866,0,866,546,1779,Gd,10400,80.0,36,5,7,866,1998,1998,197900,0,0
929,0,0,5,No,Unf,None,929,0,755,0,2229,TA,5520,92.0,198,6,6,755,1912,1950,104000,1,0
0,0,1958,3,Av,BLQ,None,480,50,430,308,480,TA,9000,50.0,0,3,2,480,1949,1950,35311,0,0
0,230,2008,3,Gd,GLQ,Fin,1718,1172,528,786,1718,Ex,12456,96.0,48,5,10,1700,2006,2007,337500,0,0
0,766,2008,1,No,GLQ,Fin,1702,1540,162,1052,1702,Ex,8769,65.0,72,5,9,1702,2008,2008,367294,0,0
0,0,1977,3,Av,LwQ,Unf,938,280,167,308,938,TA,9200,70.0,0,6,5,938,1975,1980,130250,0,1
0,295,2002,3,No,GLQ,Unf,1654,986,668,900,1654,Gd,8125,70.0,136,5,7,1654,2002,2002,230000,0,1
1872,1170,1994,4,Gd,GLQ,Fin,2444,1455,989,832,4316,Ex,21535,104.0,50,6,10,2444,1994,1995,755000,0,0
1304,506,1995,4,No,None,Fin,1490,689,773,810,2794,Ex,15138,174.0,146,5,8,1462,1995,1996,403000,0,0
0,0,1956,2,No,Rec,Unf,928,377,551,252,928,TA,13300,70.0,0,7,5,928,1956,2000,132000,0,0
755,336,1985,3,No,None,Fin,977,0,741,476,1732,Gd,9206,77.0,46,5,6,741,1985,1985,178000,0,0
304,0,1925,4,No,Rec,Unf,1390,423,758,576,1694,TA,8400,60.0,0,5,6,1181,1925,1950,136500,0,0
0,0,1955,3,Mn,Rec,Fin,1056,1056,0,572,1056,TA,34650,100.0,0,5,5,1056,1955,1955,145000,0,0
0,0,1967,3,Av,ALQ,RFn,900,769,95,288,900,TA,7838,68.0,144,5,5,864,1967,1967,123000,0,0
1037,0,1936,3,No,Rec,Fin,1020,223,794,180,2057,Gd,11500,86.0,0,7,7,1017,1936,1987,250000,0,0
0,0,2001,3,No,Unf,RFn,1430,0,1413,605,1430,Gd,16285,67.0,33,5,7,1413,2001,2002,187100,0,0
0,0,1974,2,Av,None,Fin,768,660,108,396,768,TA,7200,60.0,0,8,5,768,1972,2003,133900,0,0
0,0,0,2,No,BLQ,None,864,41,823,0,864,TA,8248,45.0,0,3,3,864,1914,1950,67000,1,0
