2ndFlrSF,MasVnrArea,GarageYrBlt,BedroomAbvGr,BsmtExposure,BsmtFinType1,GarageFinish,1stFlrSF,BsmtFinSF1,BsmtUnfSF,GarageArea,GrLivArea,KitchenQual,LotArea,LotFrontage,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice,GarageYrBlt_missing,LotFrontage_missing
0,0,1957,3,No,Rec,RFn,1314,922,392,294,1314,TA,8400,70.0,0,6,5,1314,1957,1957,145000,0,0
772,0,1993,3,No,Unf,RFn,799,0,799,380,1571,TA,7837,59.0,40,7,6,799,1993,1994,178000,0,0
0,0,0,2,No,Unf,None,796,0,796,0,796,TA,8777,67.0,0,7,5,796,1910,1950,85000,1,0
787,252,1939,3,No,ALQ,Unf,981,569,162,240,1768,Gd,7200,60.0,0,7,5,731,1937,1950,175000,0,0
665,0,1924,3,No,LwQ,Unf,1026,218,808,308,1691,Gd,5000,50.0,0,6,5,1026,1924,1950,127000,0,0
0,0,1975,3,No,ALQ,Unf,894,894,0,552,894,TA,9800,70.0,0,7,5,894,1972,1972,149900,0,0
876,0,2005,3,Av,Unf,Fin,684,0,684,400,1560,Gd,11911,122.0,38,5,6,684,2005,2005,174000,0,0
358,0,1922,3,No,BLQ,Unf,796,735,61,240,1154,Gd,5436,40.0,96,8,4,796,1922,2007,125500,0,0
0,210,1981,3,No,None,Fin,1422,588,606,576,1422,Gd,12090,78.0,0,6,6,1422,1981,1981,175500,0,0
0,140,2007,3,Av,Unf,None,1496,0,1496,474,1496,Gd,9158,76.0,130,5,8,1496,2007,2007,225000,0,0
0,0,1990,3,Gd,LwQ,Unf,913,187,0,240,913,TA,8400,70.0,0,5,6,814,1966,1966,129000,0,0
0,1047,1966,3,Av,ALQ,RFn,1086,516,380,484,1086,TA,13400,85.0,0,5,5,1024,1966,1966,159950,0,0
0,206,1978,3,No,ALQ,RFn,1601,704,567,478,1601,TA,11880,82.0,0,5,7,1271,1978,1978,157000,0,0
800,176,1965,3,No,BLQ,Unf,1186,454,314,486,1986,TA,13600,85.0,42,6,7,768,1965,1990,205000,0,0
0,168,1969,3,No,Unf,Unf,1164,0,1164,528,1164,TA,9600,80.0,0,5,7,1164,1969,1969,140000,0,0
1257,0,2002,4,No,Unf,RFn,1010,0,1010,390,2267,Gd,8068,70.0,46,5,6,1010,2002,2002,200000,0,1
0,184,1953,3,Mn,None,Unf,2259,35,905,450,2259,Gd,21000,70.0,120,5,6,1809,1953,1953,217000,0,1
0,0,1963,2,No,LwQ,RFn,825,180,0,720,825,TA,8235,49.0,50,7,5,825,1955,1995,125000,0,0
728,140,1977,3,No,BLQ,Fin,698,535,155,440,1426,TA,7950,75.0,0,6,6,690,1977,1977,159500,0,0
